position,fen,rubichess_move,rubichess_eval,rubichess_nodes,rubichess_time,rubichess_success,stockfish_move,stockfish_eval,stockfish_nodes,stockfish_time,stockfish_success
135,7R/8/8/8/8/3k4/3p4/3K4 b - - 1 1,d3d4,-815,78962,0.03601980209350586,True,d3e3,-502,39516,0.015099048614501953,True
136,8/8/8/8/8/3K4/3P4/3k3r b - - 0 1,h1h3,811,90785,0.03484535217285156,True,h1h3,494,49369,0.02625107765197754,True
137,8/8/8/8/8/8/3PK3/2k4r b - - 2 2,h1h2,805,50348,0.01691412925720215,True,h1h3,485,38305,0.016438007354736328,True
138,8/8/8/7r/8/3K4/3P4/3k4 w - - 1 2,d3c3,-825,79952,0.050238609313964844,True,d3c3,-465,72811,0.025925636291503906,True
139,7r/8/8/8/8/3K4/3P4/3k4 w - - 1 2,d3e3,-829,84502,0.031110048294067383,True,d3d4,-449,115655,0.03540515899658203,True
140,8/8/8/8/3K4/8/3P4/2k4r b - - 2 2,c1d2,811,75636,0.024632930755615234,True,c1d2,460,61114,0.029155969619750977,True
141,8/8/8/8/7r/2K5/3P4/3k4 b - - 2 2,h4h3,810,51013,0.02765345573425293,True,h4h3,480,43400,0.00917816162109375,True
142,8/8/8/8/8/2K5/3P4/4k2r b - - 2 2,h1h3,818,93775,0.02958202362060547,True,e1e2,466,43087,0.027063608169555664,True
143,8/8/8/3k4/3n4/3K4/3B4/8 w - - 0 1,d2c1,0,9335,0.0064544677734375,True,d2f4,0,188649,0.1797776222229004,True
144,8/8/8/3k2B1/8/3K1n2/8/8 w - - 2 2,g5c1,0,12756,0.0010063648223876953,True,g5f6,-1,189519,0.18235349655151367,True
145,8/8/8/3k4/3n4/3K4/8/2B5 b - - 1 1,d4c2,0,8613,0.004183530807495117,True,d4f3,3,201756,0.2611668109893799,True
146,8/8/7B/3k4/3n4/3K4/8/8 b - - 1 1,d4c2,0,8494,0.0,True,d4e6,0,121012,0.12626934051513672,True
147,8/8/3k4/8/3n4/4K3/3B4/8 w - - 2 2,e3d4,0,8920,0.004237651824951172,True,e3d4,28,78842,0.07005095481872559,True
148,8/8/4k3/8/1B1n4/3K4/8/8 w - - 2 2,d3d4,0,9307,0.01057291030883789,True,d3d4,0,113811,0.13239574432373047,True
149,8/8/8/8/3nk3/2K5/3B4/8 w - - 2 2,d2c1,0,9128,0.009245872497558594,True,c3c4,-3,237064,0.2508833408355713,True
150,8/8/8/B2k4/3n4/3K4/8/8 b - - 1 1,d4c2,0,8139,0.0,True,d4f3,1,262623,0.28343892097473145,True
151,8/8/8/3K4/3N4/3k4/3b4/8 b - - 0 1,d2c1,0,9335,0.0041027069091796875,True,d2e1,1,277965,0.2721998691558838,True
152,8/8/8/3K4/3N4/2bk4/8/8 w - - 1 2,d4c2,0,8605,0.012444257736206055,True,d4c6,0,144050,0.1317589282989502,True
153,8/8/2N5/3K2b1/8/3k4/8/8 b - - 2 2,g5c1,0,10711,0.016932964324951172,True,g5c1,-1,261796,0.28386902809143066,True
154,8/8/8/3K4/3N4/3kb3/8/8 w - - 1 2,d4c2,0,9387,0.010762453079223633,True,d4c6,1,200296,0.2835514545440674,True
155,8/8/8/1N1K4/1b6/3k4/8/8 b - - 2 2,b4e1,0,11863,0.01466059684753418,True,b4e1,0,182647,0.1833648681640625,True
156,8/8/8/3K4/8/3kbN2/8/8 b - - 2 2,e3c1,0,12207,0.0,True,e3f4,2,260212,0.31513524055480957,True
157,8/8/8/b2K4/3N4/3k4/8/8 w - - 1 2,d4c2,0,8139,0.005081653594970703,True,d4f5,0,184477,0.23323535919189453,True
158,8/8/8/3K4/1b1N4/3k4/8/8 w - - 1 2,d4c2,0,9041,0.014548540115356445,True,d4f3,1,199752,0.24113750457763672,True
159,r1bqkb1r/ppp2ppp/2n2n2/3pp3/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,f3e5,104,359077,0.27038025856018066,True,f3e5,91,92578,0.13309788703918457,True
160,r1bqk2r/ppp2ppp/2n2n2/2bpp3/3PP3/2N2NP1/PPP2P1P/R1BQKB1R w KQkq - 1 6,d4c5,266,175587,0.15283751487731934,True,d4c5,282,67889,0.08855223655700684,True
161,r1bqkb1r/ppp2ppp/2n2n2/3pp1B1/3PP3/2N2N2/PPP2PPP/R2QKB1R b KQkq - 1 5,e5d4,-72,301117,0.23356318473815918,True,e5d4,-65,124225,0.1365041732788086,True
162,r1bqkb1r/ppp2ppp/2n2n2/3pp3/3PP3/5N2/PPP1NPPP/R1BQKB1R b KQkq - 1 5,d5e4,196,158700,0.09986424446105957,True,f6e4,158,45533,0.08594107627868652,True
163,r1bqkb1r/ppp2ppp/5n2/3pp3/1n1PP3/1PN2N2/P1P2PPP/R1BQKB1R w KQkq - 1 6,f3e5,8,257713,0.16738557815551758,True,d4e5,27,235182,0.29059314727783203,True
164,r1bqkb1r/ppp2ppp/2n2n2/1B1pp3/3PP3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 5,f8b4,-66,169054,0.10742712020874023,True,f8b4,-68,102415,0.11834025382995605,True
165,r2qkb1r/pppb1ppp/2n2n2/3pp3/3PP3/5N2/PPP1NPPP/R1BQKB1R w KQkq - 2 6,e4d5,27,233124,0.14761781692504883,True,e4d5,31,208764,0.2312479019165039,True
166,r2qkb1r/pppb1ppp/2n2n2/4P3/4p3/2N2N2/PPP2PPP/R1B1KB1R w KQkq - 0 7,f3g5,-545,877122,0.4247093200683594,True,e5f6,-572,23378,0.015585660934448242,True
167,r1bqk2r/ppp2ppp/2n2n2/3pp3/3PP2P/b1N2N2/PPP2PP1/R1BQKB1R w KQkq - 1 6,b2a3,377,426951,0.22341370582580566,True,b2a3,335,35011,0.04705500602722168,True
168,r1bqkb1r/ppp2ppp/2n2n2/3pp3/3PP3/2N2N1P/PPP2PP1/R1BQKB1R b KQkq - 0 5,f6e4,64,215714,0.13323235511779785,True,f6e4,87,28950,0.026367664337158203,True
169,r1b1kb1r/ppp2ppp/2n2n2/3qp3/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,c3d5,511,809255,0.42557263374328613,True,c3d5,541,21239,0.015543699264526367,True
170,r1bqk2r/ppp2p1N/2n2n2/2bpp1p1/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 7,h7f6,502,325734,0.17585253715515137,True,h7f6,438,31521,0.03153204917907715,True
171,r1bqk2r/ppp2ppp/2n2n2/3Pp3/1b1P4/2N2N2/PPPQ1PPP/R1B1KB1R b KQkq - 0 6,e5d4,58,478907,0.3030126094818115,True,e5d4,28,134081,0.1781618595123291,True
172,r1bqkbr1/1pp2ppp/2n2n2/pB1pp3/3PP3/2N5/PPP2PPP/R1BQK1NR w KQq - 0 7,g1f3,177,132170,0.0714111328125,True,g1f3,194,72194,0.07633566856384277,True
173,r1bqkbnr/ppp2ppp/2n5/3pp1B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq - 3 6,d8g5,344,231205,0.13328194618225098,True,d8g5,320,35345,0.05278754234313965,True
